Disease,Medication
Fungal infection,"['Clotrimazole (Antifungal)', 'Fluconazole (Triazole)', 'Terbinafine (Allylamine)', 'Ketoconazole (Imidazole)', 'Miconazole (Antifungal)']"
Allergy,"['Cetirizine (Antihistamine)', 'Fexofenadine (H1 Blocker)', 'Diphenhydramine (Antihistamine)', 'Loratadine (Non-sedating Antihistamine)', 'Fluticasone (Corticosteroid)']"
GERD,"['Omeprazole (Proton Pump Inhibitor)', 'Pantoprazole (PPI)', 'Ranitidine (H2 Blocker)', 'Famotidine (Antacid)', 'Esomeprazole (PPI)']"
Chronic cholestasis,"['Ursodeoxycholic Acid (Bile Acid)', 'Cholestyramine (Bile Acid Sequestrant)', 'Rifampin (Antibiotic/Enzyme Inducer)', 'Naltrexone (Opioid Antagonist)']"
Drug Reaction,"['Dexamethasone (Corticosteroid)', 'Hydrocortisone (Steroid)', 'Promethazine (Antihistamine)', 'Epinephrine (Adrenaline)', 'Cetirizine (Antiallergic)']"
Peptic ulcer disease,"['Amoxicillin (Antibiotic)', 'Clarithromycin (Macrolide)', 'Misoprostol (Prostaglandin Analog)', 'Sucralfate (Cytoprotective)', 'Lansoprazole (PPI)']"
AIDS,"['Tenofovir (NRTI)', 'Lamivudine (NRTI)', 'Efavirenz (NNRTI)', 'Dolutegravir (Integrase Inhibitor)', 'Ritonavir (Protease Inhibitor)']"
Diabetes,"['Metformin (Biguanide)', 'Glimepiride (Sulfonylurea)', 'Sitagliptin (DPP-4 Inhibitor)', 'Insulin Glargine (Long-acting Insulin)', 'Dapagliflozin (SGLT2 Inhibitor)']"
Gastroenteritis,"['Ondansetron (Antiemetic)', 'Loperamide (Antidiarrheal)', 'ORS (Electrolytes)', 'Ciprofloxacin (Fluoroquinolone)', 'Metronidazole (Nitroimidazole)']"
Bronchial Asthma,"['Salbutamol (SABA)', 'Budesonide (Corticosteroid)', 'Montelukast (Leukotriene Receptor Antagonist)', 'Ipratropium (Anticholinergic)', 'Salmeterol (LABA)']"
Hypertension,"['Amlodipine (Calcium Channel Blocker)', 'Telmisartan (ARB)', 'Enalapril (ACE Inhibitor)', 'Hydrochlorothiazide (Diuretic)', 'Metoprolol (Beta-blocker)']"
Migraine,"['Sumatriptan (Triptan)', 'Naproxen (NSAID)', 'Propranolol (Beta-blocker)', 'Amitriptyline (Tricyclic Antidepressant)', 'Zolmitriptan (Triptan)']"
